timeindex,hydro_SDE,onshore_SDE,pv_SDE,chp_SDE,li-ion_SDE,phs_SDE,import_export,electricity_SDE,excess_SDE
2050-01-01 00:00:00+00:00,2020.9768,19051.419,0,0,8957.1504,8227,32000,47324.1359530265,0
2050-01-01 01:00:00+00:00,2025.8691,21461.019,0,0,8606.5133,4968.6256,32000,45728.8847388126,0
2050-01-01 02:00:00+00:00,2030.7615,24701.516,0,0,779.79145,8227,32000,43776.3843410824,0
2050-01-01 03:00:00+00:00,2035.6538,26733.577,0,0,0,6624.4039,32000,42060.4007474999,0
2050-01-01 04:00:00+00:00,2040.5462,30084.168,0,0,0,5783.58,32000,41048.0298227334,0
2050-01-01 05:00:00+00:00,2045.4385,32546.218,0,9598.7878,0,0,32000,39508.1967985871,0
2050-01-01 06:00:00+00:00,2050.3309,35020.212,0,25241.998,-12833,0,29116.263,36669.005900103,0
2050-01-01 07:00:00+00:00,2055.2232,35978.34,1035.2445,16787.518,-9239.7393,0,32000,36689.7876876079,0
2050-01-01 08:00:00+00:00,2060.1156,36411.445,11317.635,12943.009,-12833,0,29329.95,37302.3562449194,0
2050-01-01 09:00:00+00:00,2065.008,33685.066,23592.677,7854.9295,-12833,0,27172.245,39610.1266083085,0
2050-01-01 10:00:00+00:00,2069.9003,30998.673,32178.201,1169.6107,-12833,0,30656.165,42312.7512945085,0
2050-01-01 11:00:00+00:00,2074.7927,31266.637,33851.716,0,-12833,0,32000,45284.5498795069,0
2050-01-01 12:00:00+00:00,2079.685,29188.877,28527.602,0,-6544.3838,0,32000,46409.7363122116,0
2050-01-01 13:00:00+00:00,2084.5774,27357.269,18393.103,7420.3414,-7016.5049,0,32000,45796.1782360258,0
2050-01-01 14:00:00+00:00,2089.4697,26946.494,6320.44,10929.599,0,0,32000,45299.3940134389,0
2050-01-01 15:00:00+00:00,2094.3621,28137.792,54.486552,12424.309,3275.5867,0,32000,45207.3602930056,0
2050-01-01 16:00:00+00:00,2099.2544,28148.698,0,19113.721,-1803.6363,0,32000,46778.8608028737,0
2050-01-01 17:00:00+00:00,2104.1468,26972.46,0,23163.718,-598.16709,0,32000,50862.9809945568,0
2050-01-01 18:00:00+00:00,2109.0391,25188.11,0,23433.063,1671.9665,0,32000,51623.0013723147,0
2050-01-01 19:00:00+00:00,2113.9315,23750.139,0,21559.111,4165.5374,0,32000,50809.5420223468,0
2050-01-01 20:00:00+00:00,2118.8238,22529.241,0,16709.266,8443.1629,0,32000,49021.316886907,0
2050-01-01 21:00:00+00:00,2123.7162,22620.639,0,3486.8092,12833,8080.2176,32000,48365.205536728,0
2050-01-01 22:00:00+00:00,2128.6085,22942.092,0,0,12833,7690.1434,32000,48951.0546529619,0
2050-01-01 23:00:00+00:00,2133.5009,23130.602,0,0,12833,445.17089,32000,46481.9778540688,0
2050-01-02 00:00:00+00:00,2138.3932,23247.966,0,0,8434.4855,0,32000,43492.3663083519,0
2050-01-02 01:00:00+00:00,2145.4937,23693.015,0,0,0,6331.6067,32000,41274.6504475386,0
2050-01-02 02:00:00+00:00,2152.5943,24077.824,0,0,472.11029,4466.3416,32000,40068.3159926174,0
2050-01-02 03:00:00+00:00,2159.6948,23457.248,0,0,6391.0264,0,32000,39298.399435517,0
2050-01-02 04:00:00+00:00,2166.7953,22677.244,0,0,10865.161,0,32000,38997.558050997,0
2050-01-02 05:00:00+00:00,2173.8958,22123.14,0,19198.045,-4720.8211,0,32000,37995.0832155185,0
2050-01-02 06:00:00+00:00,2180.9963,21892.566,0,29151.552,-12833,0,32000,36071.2815667781,0
2050-01-02 07:00:00+00:00,2188.0969,21765.854,879.56862,18194.896,-683.03301,0,32000,37353.8159992717,0
2050-01-02 08:00:00+00:00,2195.1974,20414.09,13006.718,20181.905,-12833,0,32000,39805.0797473919,0
2050-01-02 09:00:00+00:00,2202.2979,15925.171,28776.683,13334.833,-12833,0,32000,43586.3792466429,0
2050-01-02 10:00:00+00:00,2209.3984,12578.735,43106.646,5929.369,-12833,0,32000,46510.6765130042,0
2050-01-02 11:00:00+00:00,2216.499,12345.565,49683.951,2532.0075,-12833,0,32000,49591.3322602802,0
2050-01-02 12:00:00+00:00,2223.5995,13472.988,45558.541,3572.911,-12833,0,32000,49784.306181506,0
2050-01-02 13:00:00+00:00,2230.7,14670.517,31049.551,5186.3833,-4563.7738,0,32000,47794.200644481,0
2050-01-02 14:00:00+00:00,2237.8005,17522.05,11208.662,11177.528,0,5097.3008,32000,46464.1648933503,0
2050-01-02 15:00:00+00:00,2244.901,21350.926,179.02724,13803.026,9375.5062,0,32000,46174.2092070471,0
2050-01-02 16:00:00+00:00,2252.0016,23251.082,0,19273.428,0,4075.9361,32000,48073.2706325673,0
2050-01-02 17:00:00+00:00,2259.1021,22926.513,0,24228.881,0,4240.5278,32000,52875.8475369443,0
2050-01-02 18:00:00+00:00,2266.2026,22420.186,0,24603.835,0,5330.66,32000,53841.7068420567,0
2050-01-02 19:00:00+00:00,2273.3031,22101.848,0,22740.526,0,6279.0795,32000,52615.580118505,0
2050-01-02 20:00:00+00:00,2280.4036,21832.326,0,18455.569,180.85134,8227,32000,50196.9734650355,0
2050-01-02 21:00:00+00:00,2287.5042,21719.117,0,5915.8888,12384.285,8227,32000,49754.6178235871,0
2050-01-02 22:00:00+00:00,2294.6047,21322.363,0,1590.42,12833,8227,32000,50668.0278554732,0
2050-01-02 23:00:00+00:00,2301.7052,21230.965,0,0,8468.2994,8227,32000,48732.3508095326,0
2050-01-03 00:00:00+00:00,2308.8057,20093.156,0,0,6281.8653,8227,32000,45792.2197102561,0
2050-01-03 01:00:00+00:00,2316.9825,18783.455,0,0,6192.3875,8227,32000,43774.4051232247,0
2050-01-03 02:00:00+00:00,2325.1593,17938.018,0,0,6489.0811,8227,32000,42663.0732155233,0
2050-01-03 03:00:00+00:00,2333.3362,17200.078,0,2852.9024,4970.1019,8227,32000,42334.5226909422,0
2050-01-03 04:00:00+00:00,2341.513,16598.717,0,719.63217,12833,8227,32000,43411.2182861355,0
2050-01-03 05:00:00+00:00,2349.6898,15797.421,0,23952.168,0,8227,28278.764,45825.8665038899,0
2050-01-03 06:00:00+00:00,2357.8666,15168.536,0,47785.438,-5302.0191,0,23788.695,51019.3393854171,0
2050-01-03 07:00:00+00:00,2366.0434,14077.465,988.54172,45634.018,0,5754.14,21892.713,57933.743815116,0
2050-01-03 08:00:00+00:00,2374.2202,11993.992,12991.151,43650.363,0,397.74467,23315.35,61943.643247084,0
2050-01-03 09:00:00+00:00,2382.397,7795.3676,28278.52,34270.713,-2099.7288,0,25954.038,63802.1306164689,0
2050-01-03 10:00:00+00:00,2390.5739,4515.4034,40561.346,27276.753,-3998.9822,0,27507.665,65473.5818082553,0
2050-01-03 11:00:00+00:00,2398.7507,3708.3952,46687.191,20546.407,-2202.5684,0,27944.866,66303.8645100126,0
2050-01-03 12:00:00+00:00,2406.9275,3938.4497,42647.402,21201.413,0,3536.1447,25608.024,66559.1838838078,0
2050-01-03 13:00:00+00:00,2415.1043,4633.8062,29235.927,19478.916,9406.9615,8227,25059.893,65678.4310366269,0
2050-01-03 14:00:00+00:00,2423.2811,6160.0593,10897.31,39499.762,3108.073,8227,22195.682,64651.2159779284,0
2050-01-03 15:00:00+00:00,2431.4579,7700.8531,256.86517,55361.512,0,0,22439.005,64061.4084259791,0
2050-01-03 16:00:00+00:00,2439.6347,7875.8607,0,52697.206,0,8227,19962.989,64931.2755749434,0
2050-01-03 17:00:00+00:00,2447.8115,7332.1428,0,54776.475,0,8227,22419.727,68390.9518121148,0
2050-01-03 18:00:00+00:00,2455.9884,7036.1359,0,53080.261,0,8227,24699.583,68119.7986954589,0
2050-01-03 19:00:00+00:00,2464.1652,7139.4786,0,51375.594,0,8227,24449.614,66420.6385437206,0
2050-01-03 20:00:00+00:00,2472.342,7427.1766,0,43105.83,0,8227,29915.309,63521.0814105249,0
2050-01-03 21:00:00+00:00,2480.5188,7703.4497,0,38306.558,0,8227,29843.817,61143.048813191,0
2050-01-03 22:00:00+00:00,2488.6956,8120.9752,0,30501.824,0,8227,32000,60280.1089267285,0
2050-01-03 23:00:00+00:00,2496.8724,8536.9428,0,23010.098,0,8227,32000,55990.1499877992,0
2050-01-04 00:00:00+00:00,2505.0492,8758.6883,0,20994.312,0,8227,32000,53232.1071115317,0
2050-01-04 01:00:00+00:00,2515.3122,8779.98,0,19653.06,0,8227,32000,50978.7653292815,0
2050-01-04 02:00:00+00:00,2525.5752,8815.8124,0,18936.058,0,8227,32000,49554.7166398595,0
2050-01-04 03:00:00+00:00,2535.8381,8769.0745,0,19824.652,0,8227,32000,48966.8883958231,0
2050-01-04 04:00:00+00:00,2546.1011,8957.5841,0,22750.401,0,8227,32000,49499.2985398465,0
2050-01-04 05:00:00+00:00,2556.3641,9355.3759,0,31354.695,0,8227,32000,50985.6925917833,0
2050-01-04 06:00:00+00:00,2566.6271,9828.4676,0,56751.407,-12833,0,32000,55250.9113975465,0
2050-01-04 07:00:00+00:00,2576.89,10289.615,1183.1366,50130.948,-2164.3514,0,32000,61237.0617514819,0
2050-01-04 08:00:00+00:00,2587.153,9813.4076,15100.559,48936.498,-11342.702,0,32000,64315.7381908453,0
2050-01-04 09:00:00+00:00,2597.416,7116.629,36817.341,35867.697,-12833,0,32000,66265.2697617894,0
2050-01-04 10:00:00+00:00,2607.6789,4579.2786,57078.555,21760.999,-12833,0,32000,66923.3603298256,0
2050-01-04 11:00:00+00:00,2617.9419,3505.3448,66925.053,14116.164,-12833,0,32000,67530.9808424933,0
2050-01-04 12:00:00+00:00,2628.2049,3494.4393,63375.643,15448.915,-12833,0,32000,67649.7340040044,0
2050-01-04 13:00:00+00:00,2638.4678,4294.6966,44912.486,21629.517,-6037.8458,0,32000,66658.1448667428,0
2050-01-04 14:00:00+00:00,2648.7308,7082.3545,17676.994,27206.411,11535.349,0,32000,65370.662389605,0
2050-01-04 15:00:00+00:00,2658.9938,11464.295,505.94655,36444.463,12833,0,32000,64884.7639552898,0
2050-01-04 16:00:00+00:00,2669.2567,15512.319,0,35442.716,12833,0,32000,65706.1401766876,0
2050-01-04 17:00:00+00:00,2679.5197,18471.869,0,38640.876,10334.816,0,32000,69347.9046368682,0
2050-01-04 18:00:00+00:00,2689.7827,19674.072,0,37821.38,9836.9472,0,32000,69243.0060003607,0
2050-01-04 19:00:00+00:00,2700.0456,19172.419,0,38954.004,6806.995,0,32000,67631.921043286,0
2050-01-04 20:00:00+00:00,2710.3086,18958.982,0,30472.152,12833,0,32000,64284.0707051238,0
2050-01-04 21:00:00+00:00,2720.5716,19268.491,0,33795.49,0,2173.5921,32000,61886.2458391591,0
2050-01-04 22:00:00+00:00,2730.8345,19666.802,0,29496.148,0,0,32000,61113.3605453267,0
