from,to,type,tech,carrier,value
acaes_NDE,elec_Bus_NDE,invest,acaes,cavern,440
chp_NDE,elec_Bus_NDE,invest,ext,biomass,11969.263
elec_Bus_NDE,acaes_NDE,invest,,,150
elec_Bus_NDE,li-ion_NDE,invest,,,2817
elec_Bus_NDE,redox_NDE,invest,,,167.4
hydro_NDE,elec_Bus_NDE,invest,ror,hydro,55.9
li-ion_NDE,elec_Bus_NDE,invest,battery,li-ion,2817
offshore_NDE,elec_Bus_NDE,invest,offshore,wind,54406.036
onshore_NDE,elec_Bus_NDE,invest,onshore,wind,49880
pv_NDE,elec_Bus_NDE,invest,pv,solar,8650.4156
redox_NDE,elec_Bus_NDE,invest,battery,redox,167.4
chp_SDE,elec_Bus_SDE,invest,ext,biomass,56640.908
elec_Bus_SDE,li-ion_SDE,invest,,,12833
elec_Bus_SDE,redox_SDE,invest,,,762.6
hydro_SDE,elec_Bus_SDE,invest,ror,hydro,1099
li-ion_SDE,elec_Bus_SDE,invest,battery,li-ion,12833
onshore_SDE,elec_Bus_SDE,invest,onshore,wind,118809
pv_SDE,elec_Bus_SDE,invest,pv,solar,188066
redox_SDE,elec_Bus_SDE,invest,battery,redox,762.6
ashp_NDE,heat_Bus_NDE,invest,ashp,electricity,12087.287
gshp_NDE,heat_Bus_NDE,invest,gshp,electricity,17559.829
heat_Bus_NDE,tes_NDE,invest,,,1350
tes_NDE,heat_Bus_NDE,invest,tes,heat,1350
ashp_SDE,heat_Bus_SDE,invest,ashp,electricity,23960.919
gshp_SDE,heat_Bus_SDE,invest,gshp,electricity,119791.59
heat_Bus_SDE,tes_SDE,invest,,,6150
tes_SDE,heat_Bus_SDE,invest,tes,heat,6150
onshore_NDE,elec_Bus_NDE,capacity,onshore,wind,22120
onshore_SDE,elec_Bus_SDE,capacity,onshore,wind,31791
offshore_NDE,elec_Bus_NDE,capacity,offshore,wind,6658
pv_NDE,elec_Bus_NDE,capacity,pv,solar,7564
pv_SDE,elec_Bus_SDE,capacity,pv,solar,37664
hydro_NDE,elec_Bus_NDE,capacity,ror,hydro,92.1
hydro_SDE,elec_Bus_SDE,capacity,ror,hydro,4198
chp_NDE,elec_Bus_NDE,capacity,ext,biomass,4741.8
chp_SDE,elec_Bus_SDE,capacity,ext,biomass,8860.4
ashp_NDE,heat_Bus_NDE,capacity,ashp,electricity,0
gshp_NDE,heat_Bus_NDE,capacity,gshp,electricity,0
ashp_SDE,heat_Bus_SDE,capacity,ashp,electricity,0
gshp_SDE,heat_Bus_SDE,capacity,gshp,electricity,0
phs_NDE,elec_Bus_NDE,capacity,reservoir,hydro,340
phs_SDE,elec_Bus_SDE,capacity,reservoir,hydro,8227
li-ion_NDE,elec_Bus_NDE,capacity,battery,li-ion,0
li-ion_SDE,elec_Bus_SDE,capacity,battery,li-ion,0
acaes_NDE,elec_Bus_NDE,capacity,acaes,cavern,290
redox_NDE,elec_Bus_NDE,capacity,battery,redox,0
redox_SDE,elec_Bus_SDE,capacity,battery,redox,0
tes_NDE,heat_Bus_NDE,capacity,tes,heat,0
tes_SDE,heat_Bus_SDE,capacity,tes,heat,0
