timeindex,hydro_SDE,onshore_SDE,pv_SDE,chp_SDE,li-ion_SDE,redox_SDE,phs_SDE,import,electricity_SDE,excess_SDE
2050-01-01 00:00:00+00:00,2020.9768,19051.419,0.0,0.0,6205.7805,0.0,3676.1758,35000.0,43021.94177547858,0.0
2050-01-01 01:00:00+00:00,2025.8691,21461.019,0.0,0.0,0.0,0.0,6417.9676,35000.0,41571.71339892055,0.0
2050-01-01 02:00:00+00:00,2030.7615,24701.516,0.0,0.0,0.0,0.0,2027.1201,35000.0,39796.713037347596,0.0
2050-01-01 03:00:00+00:00,2035.6538,26733.577,0.0,0.0,0.0,0.0,133.17128,35000.0,38236.72795227261,0.0
2050-01-01 04:00:00+00:00,2040.5462,30084.168,0.0,0.0,0.0,0.0,388.38612,35000.0,37316.39074793941,0.0
2050-01-01 05:00:00+00:00,2045.4385,32546.218,0.0,5635.4978,0.0,0.0,0.0,35000.0,35916.54254417009,0.0
2050-01-01 06:00:00+00:00,2050.3309,35020.212,0.0,28949.27,-12833.0,0.0,0.0,21368.782,33335.45990918453,0.0
2050-01-01 07:00:00+00:00,2055.2232,35978.34,1035.2445,20494.79,-11415.27,0.0,0.0,26426.16,33354.35244327991,0.0
2050-01-01 08:00:00+00:00,2060.1156,36411.445,11317.635,16650.281,-12833.0,-762.6,0.0,22287.492,33911.2329499267,0.0
2050-01-01 09:00:00+00:00,2065.008,33685.066,23592.677,11562.202,-12833.0,-525.82198,0.0,19683.212,36009.20600755314,0.0
2050-01-01 10:00:00+00:00,2069.9003,30998.673,32178.201,4876.8829,-12833.0,-762.6,0.0,23158.216,38466.137540462274,0.0
2050-01-01 11:00:00+00:00,2074.7927,31266.637,33851.716,564.90957,-12833.0,-762.6,0.0,28225.453,41167.772617733506,0.0
2050-01-01 12:00:00+00:00,2079.685,29188.877,28527.602,0.0,-11385.358,0.0,0.0,35000.0,42190.66937473782,0.0
2050-01-01 13:00:00+00:00,2084.5774,27357.269,18393.103,0.0,0.0,0.0,0.0,35000.0,41632.88930547798,0.0
2050-01-01 14:00:00+00:00,2089.4697,26946.494,6320.44,6599.3736,0.0,0.0,0.0,35000.0,41181.26728494448,0.0
2050-01-01 15:00:00+00:00,2094.3621,28137.792,54.486552,10382.9,0.0,0.0,0.0,35000.0,41097.600266368725,0.0
2050-01-01 16:00:00+00:00,2099.2544,28148.698,0.0,13432.676,0.0,0.0,0.0,35000.0,42526.23709352151,0.0
2050-01-01 17:00:00+00:00,2104.1468,26972.46,0.0,18064.075,0.0,0.0,0.0,35000.0,46239.07363141524,0.0
2050-01-01 18:00:00+00:00,2109.0391,25188.11,0.0,19867.478,0.0,0.0,0.0,35000.0,46930.00124755885,0.0
2050-01-01 19:00:00+00:00,2113.9315,23750.139,0.0,19783.011,0.0,0.0,0.0,35000.0,46190.492747587996,0.0
2050-01-01 20:00:00+00:00,2118.8238,22529.241,0.0,18027.845,0.0,0.0,0.0,35000.0,44564.83353355186,0.0
