timeindex,acaes_NDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,redox_NDE,redox_SDE,tes_NDE,tes_SDE
2050-01-01 00:00:00+00:00,0.0,0.0,0.0,457.40182,356141.95,0.0,0.0,92340.0,436942.21
2050-01-01 01:00:00+00:00,0.0,0.0,0.0,64.803634,350608.48,0.0,0.0,93555.0,436942.21
2050-01-01 02:00:00+00:00,0.0,0.0,0.0,64.803634,350149.67,0.0,0.0,94770.0,436942.21
2050-01-01 03:00:00+00:00,0.0,0.0,0.0,64.803634,351882.33,0.0,0.0,95985.0,438109.08
2050-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,353324.82,0.0,0.0,97200.0,442800.0
2050-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,355220.32,0.0,0.0,95700.0,435966.67
2050-01-01 06:00:00+00:00,0.0,0.0,12308.981,0.0,357120.36,0.0,0.0,94200.0,429133.33
2050-01-01 07:00:00+00:00,0.0,0.0,23258.123,2.9477473,359024.92,0.0,0.0,92700.0,422300.0
2050-01-01 08:00:00+00:00,0.0,0.0,35567.104,81.845821,360934.03,0.0,682.09018,91200.0,415466.67
2050-01-01 09:00:00+00:00,0.0,0.0,47876.086,160.93126,362847.66,0.0,1152.3996,89700.0,408633.33
2050-01-01 10:00:00+00:00,0.0,0.0,60185.067,240.20407,364765.83,0.0,1834.4898,88200.0,401800.0
2050-01-01 11:00:00+00:00,0.0,0.0,72494.048,319.66424,366688.53,0.0,2516.58,86700.0,394966.67
2050-01-01 12:00:00+00:00,0.0,0.0,83414.5,399.31179,368615.77,0.0,2516.58,85200.0,391897.4
2050-01-01 13:00:00+00:00,0.0,0.0,83414.5,479.14669,370547.54,0.0,2516.58,83700.0,391780.13
2050-01-01 14:00:00+00:00,0.0,0.0,83414.5,559.16897,372483.84,0.0,2516.58,82200.0,384946.8
2050-01-01 15:00:00+00:00,0.0,0.0,83414.5,639.37861,374424.68,0.0,2516.58,80700.0,378113.46
2050-01-01 16:00:00+00:00,0.0,0.0,83414.5,719.77562,376370.05,0.0,2516.58,79200.0,371280.13
2050-01-01 17:00:00+00:00,375.93616,0.0,83414.5,800.35999,378319.96,0.0,2516.58,77700.0,364446.8
2050-01-01 18:00:00+00:00,375.93616,0.0,83414.5,881.13173,380274.39,0.0,2516.58,76200.0,357613.46
2050-01-01 19:00:00+00:00,375.93616,1979.5081,83414.5,962.09084,382233.37,0.0,2516.58,74700.0,350780.13
2050-01-01 20:00:00+00:00,751.87233,3435.2099,83414.5,1043.2373,384196.87,0.0,2516.58,73200.0,343946.8
2050-01-01 21:00:00+00:00,751.87233,3965.7987,80378.228,1124.5712,386164.91,0.0,2516.58,73134.068,337113.46
2050-01-01 22:00:00+00:00,1127.8085,5027.7974,66998.901,1206.0924,386065.99,0.0,2516.58,74349.068,342567.72
2050-01-01 23:00:00+00:00,1503.7447,7259.3915,59044.639,1287.8009,388043.1,103.23866,2516.58,75564.068,348102.72
2050-01-02 00:00:00+00:00,1879.6808,9961.363,55856.916,1369.6969,390024.74,252.96578,2516.58,76779.068,353637.72
2050-01-02 01:00:00+00:00,2255.617,12663.334,54651.401,1451.8648,392012.96,402.69289,2516.58,77994.068,359172.72
2050-01-02 02:00:00+00:00,2631.5532,15365.306,54773.406,1534.3046,394007.76,552.42,2516.58,79209.068,364707.72
2050-01-02 03:00:00+00:00,2908.1575,18067.277,53318.635,1617.0163,396009.14,552.42,2516.58,80424.068,370242.72
2050-01-02 04:00:00+00:00,2941.6529,18067.277,47266.509,1700.0,398017.1,552.42,2516.58,81639.068,375455.3
2050-01-02 05:00:00+00:00,2941.6529,17107.973,47266.509,1616.4724,400031.64,552.42,2516.58,80139.068,368621.97
2050-01-02 06:00:00+00:00,3080.0,18310.5,52087.719,1700.0,402052.77,552.42,2516.58,78639.068,361788.64
2050-01-02 07:00:00+00:00,3080.0,18310.5,52087.719,1391.2013,404080.47,552.42,2516.58,77139.068,354955.3
2050-01-02 08:00:00+00:00,3080.0,18310.5,52087.719,1082.6745,406114.75,552.42,2516.58,75639.068,348121.97
2050-01-02 09:00:00+00:00,3080.0,18310.5,55379.821,1167.0179,408155.61,552.42,2516.58,74139.068,341288.64
2050-01-02 10:00:00+00:00,3080.0,18310.5,55379.821,1100.0788,410203.05,552.42,2516.58,72639.068,334455.3
2050-01-02 11:00:00+00:00,3080.0,18310.5,67688.802,1184.966,412257.07,552.42,2516.58,71139.068,327621.97
2050-01-02 12:00:00+00:00,3080.0,18310.5,79997.783,1270.1252,414317.67,552.42,2516.58,69639.068,320788.64
2050-01-02 13:00:00+00:00,3080.0,18310.5,83414.5,1355.5563,416384.85,552.42,2516.58,68139.068,313955.3
2050-01-02 14:00:00+00:00,3080.0,18310.5,83414.5,1441.2593,418458.61,552.42,2516.58,66639.068,307121.97
2050-01-02 15:00:00+00:00,3080.0,18310.5,83414.5,1527.2343,420538.96,552.42,2516.58,65139.068,300288.64
2050-01-02 16:00:00+00:00,3080.0,18310.5,83414.5,1613.4812,422625.88,552.42,2516.58,63639.068,293455.3
2050-01-02 17:00:00+00:00,3080.0,18310.5,83414.5,1700.0,424719.38,552.42,2516.58,62139.068,286621.97
2050-01-02 18:00:00+00:00,3080.0,18310.5,83414.5,1700.0,426819.46,552.42,2516.58,61970.64,279788.64
