,elec_Bus_NDE,elec_Bus_SDE
2050-01-01 00:00:00+00:00,-36458.333,35000.0
2050-01-01 01:00:00+00:00,-36458.333,35000.0
2050-01-01 02:00:00+00:00,-36458.333,35000.0
2050-01-01 03:00:00+00:00,-36458.333,35000.0
2050-01-01 04:00:00+00:00,-36458.333,35000.0
2050-01-01 05:00:00+00:00,-36458.333,35000.0
2050-01-01 06:00:00+00:00,-22259.148,21368.782
2050-01-01 07:00:00+00:00,-27527.25,26426.16
2050-01-01 08:00:00+00:00,-23216.137,22287.492
2050-01-01 09:00:00+00:00,-20503.345,19683.212
2050-01-01 10:00:00+00:00,-24123.142,23158.216
2050-01-01 11:00:00+00:00,-29401.513,28225.453
2050-01-01 12:00:00+00:00,-36458.333,35000.0
2050-01-01 13:00:00+00:00,-36458.333,35000.0
2050-01-01 14:00:00+00:00,-36458.333,35000.0
2050-01-01 15:00:00+00:00,-36458.333,35000.0
2050-01-01 16:00:00+00:00,-36458.333,35000.0
2050-01-01 17:00:00+00:00,-36458.333,35000.0
2050-01-01 18:00:00+00:00,-36458.333,35000.0
2050-01-01 19:00:00+00:00,-36458.333,35000.0
2050-01-01 20:00:00+00:00,-36458.333,35000.0
2050-01-01 21:00:00+00:00,-36458.333,35000.0
2050-01-01 22:00:00+00:00,-36458.333,35000.0
2050-01-01 23:00:00+00:00,-36458.333,35000.0
2050-01-02 00:00:00+00:00,-36458.333,35000.0
2050-01-02 01:00:00+00:00,-36458.333,35000.0
2050-01-02 02:00:00+00:00,-36458.333,35000.0
2050-01-02 03:00:00+00:00,-36458.333,35000.0
2050-01-02 04:00:00+00:00,-36458.333,35000.0
2050-01-02 05:00:00+00:00,-36458.333,35000.0
2050-01-02 06:00:00+00:00,-36458.333,35000.0
2050-01-02 07:00:00+00:00,-36458.333,35000.0
2050-01-02 08:00:00+00:00,-34859.807,33465.415
2050-01-02 09:00:00+00:00,-35809.016,34376.656
2050-01-02 10:00:00+00:00,-25365.945,24351.307
2050-01-02 11:00:00+00:00,-33364.346,32029.772
2050-01-02 12:00:00+00:00,-34901.77,33505.699
2050-01-02 13:00:00+00:00,-36458.333,35000.0
2050-01-02 14:00:00+00:00,-36458.333,35000.0
2050-01-02 15:00:00+00:00,-36458.333,35000.0
2050-01-02 16:00:00+00:00,-36458.333,35000.0
2050-01-02 17:00:00+00:00,-36458.333,35000.0
2050-01-02 18:00:00+00:00,-35377.759,33962.649
2050-01-02 19:00:00+00:00,-33013.615,31693.071
2050-01-02 20:00:00+00:00,-30562.916,29340.399
2050-01-02 21:00:00+00:00,-30177.109,28970.025
2050-01-02 22:00:00+00:00,-32814.402,31501.826
2050-01-02 23:00:00+00:00,-31893.934,30618.177
2050-01-03 00:00:00+00:00,-27899.708,26783.72
2050-01-03 01:00:00+00:00,-28900.886,27744.851
2050-01-03 02:00:00+00:00,-23462.188,22523.701
2050-01-03 03:00:00+00:00,-25471.077,24452.234
2050-01-03 04:00:00+00:00,-23425.101,22488.097
2050-01-03 05:00:00+00:00,-16190.237,15542.627
2050-01-03 06:00:00+00:00,-12031.43,11550.173
2050-01-03 07:00:00+00:00,-10572.533,10149.632
2050-01-03 08:00:00+00:00,-9765.0161,9374.4154
2050-01-03 09:00:00+00:00,-8965.4145,8606.7979
2050-01-03 10:00:00+00:00,-8311.2433,7978.7936
2050-01-03 11:00:00+00:00,-8078.6134,7755.4689
2050-01-03 12:00:00+00:00,-8130.5776,7805.3545
2050-01-03 13:00:00+00:00,-8452.8558,8114.7416
2050-01-03 14:00:00+00:00,-8642.7149,8297.0063
2050-01-03 15:00:00+00:00,-13097.893,12573.978
2050-01-03 16:00:00+00:00,-10448.095,10030.171
2050-01-03 17:00:00+00:00,-10628.003,10202.883
2050-01-03 18:00:00+00:00,-11794.762,11322.972
2050-01-03 19:00:00+00:00,-13836.247,13282.797
2050-01-03 20:00:00+00:00,-15633.954,15008.596
2050-01-03 21:00:00+00:00,-17892.135,17176.449
2050-01-03 22:00:00+00:00,-20677.635,19850.529
2050-01-03 23:00:00+00:00,-24025.116,23064.112
2050-01-04 00:00:00+00:00,-25772.535,24741.634
2050-01-04 01:00:00+00:00,-28816.807,27664.135
2050-01-04 02:00:00+00:00,-31667.597,30400.893
2050-01-04 03:00:00+00:00,-35611.306,34186.853
2050-01-04 04:00:00+00:00,-36458.333,35000.0
2050-01-04 05:00:00+00:00,-36458.333,35000.0
2050-01-04 06:00:00+00:00,-36458.333,35000.0
2050-01-04 07:00:00+00:00,-36458.333,35000.0
2050-01-04 08:00:00+00:00,-36458.333,35000.0
2050-01-04 09:00:00+00:00,-36458.333,35000.0
2050-01-04 10:00:00+00:00,-34967.77,33569.059
2050-01-04 11:00:00+00:00,-33881.452,32526.194
2050-01-04 12:00:00+00:00,-36458.333,35000.0
