timeindex,acaes_NDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,tes_NDE,tes_SDE
2050-01-01 00:00:00+00:00,0.0,0.0,9785.8992,850.0,349014.28,59245.099,287132.7
2050-01-01 01:00:00+00:00,0.0,0.0,812.98878,850.0,343277.0,60055.099,287132.7
2050-01-01 02:00:00+00:00,0.0,0.0,0.0,850.0,333777.28,60865.099,287132.7
2050-01-01 03:00:00+00:00,0.0,0.0,0.0,850.0,326128.08,61675.099,287132.7
2050-01-01 04:00:00+00:00,0.0,0.0,0.0,850.0,319449.78,62485.099,287132.7
2050-01-01 05:00:00+00:00,0.0,0.0,0.0,850.0,319449.78,62090.924,282577.15
2050-01-01 06:00:00+00:00,0.0,0.0,12308.981,850.0,319449.78,61090.924,278021.59
2050-01-01 07:00:00+00:00,0.0,0.0,21171.428,850.0,319449.78,60090.924,273466.04
2050-01-01 08:00:00+00:00,0.0,0.0,33480.409,856.29,319601.98,59090.924,268910.48
2050-01-01 09:00:00+00:00,0.0,0.0,45789.39,882.69667,320240.94,58090.924,264354.93
2050-01-01 10:00:00+00:00,0.0,0.0,58098.371,928.65333,321352.96,57090.924,259799.37
2050-01-01 11:00:00+00:00,0.0,0.0,70407.353,981.92,322641.85,56863.768,256560.03
2050-01-01 12:00:00+00:00,0.0,0.0,76684.505,1026.7433,323726.45,57467.654,252004.48
2050-01-01 13:00:00+00:00,0.0,0.0,83414.5,1053.7733,324380.49,58277.654,247448.92
2050-01-01 14:00:00+00:00,0.0,0.0,83414.5,1059.44,324517.61,59087.654,242893.37
2050-01-01 15:00:00+00:00,0.0,0.0,79999.465,1059.44,324517.61,59897.654,238337.81
2050-01-01 16:00:00+00:00,0.0,0.0,81729.452,1059.44,324517.61,59371.113,233782.26
2050-01-01 17:00:00+00:00,0.0,0.0,82303.194,1059.44,324517.61,58371.113,229226.7
2050-01-01 18:00:00+00:00,0.0,0.0,80560.048,1059.44,324517.61,57371.113,224671.15
2050-01-01 19:00:00+00:00,0.0,0.0,76217.175,1059.44,324517.61,56371.113,220115.59
2050-01-01 20:00:00+00:00,0.0,0.0,67414.569,1059.44,324517.61,56423.906,215560.03
2050-01-01 21:00:00+00:00,0.0,0.0,54035.242,1059.44,315187.38,57233.906,211004.48
2050-01-01 22:00:00+00:00,0.0,0.0,40655.915,1059.44,306307.56,58043.906,211004.48
2050-01-01 23:00:00+00:00,0.0,0.0,27276.587,1059.44,305793.53,58853.906,211004.48
2050-01-02 00:00:00+00:00,0.0,0.0,18483.028,1059.44,305793.53,59663.906,211004.48
2050-01-02 01:00:00+00:00,0.0,597.3975,18483.028,1059.44,298482.42,60473.906,211004.48
2050-01-02 02:00:00+00:00,0.0,597.3975,17990.819,1059.44,293325.13,61283.906,211004.48
2050-01-02 03:00:00+00:00,0.0,597.3975,11327.714,1059.44,293325.13,62093.906,211004.48
2050-01-02 04:00:00+00:00,0.0,597.3975,0.0,1059.44,293325.13,62903.906,211004.48
