,elec_Bus_NDE,elec_Bus_SDE
2050-01-01 00:00:00+00:00,-33333.333,32000.0
2050-01-01 01:00:00+00:00,-33333.333,32000.0
2050-01-01 02:00:00+00:00,-33333.333,32000.0
2050-01-01 03:00:00+00:00,-33333.333,32000.0
2050-01-01 04:00:00+00:00,-33333.333,32000.0
2050-01-01 05:00:00+00:00,-33333.333,32000.0
2050-01-01 06:00:00+00:00,-27391.84,26296.166
2050-01-01 07:00:00+00:00,-33333.333,32000.0
2050-01-01 08:00:00+00:00,-27614.431,26509.853
2050-01-01 09:00:00+00:00,-25366.821,24352.148
2050-01-01 10:00:00+00:00,-28995.904,27836.068
2050-01-01 11:00:00+00:00,-33333.333,32000.0
2050-01-01 12:00:00+00:00,-33333.333,32000.0
2050-01-01 13:00:00+00:00,-33333.333,32000.0
2050-01-01 14:00:00+00:00,-33333.333,32000.0
2050-01-01 15:00:00+00:00,-33333.333,32000.0
2050-01-01 16:00:00+00:00,-33333.333,32000.0
2050-01-01 17:00:00+00:00,-33333.333,32000.0
2050-01-01 18:00:00+00:00,-33333.333,32000.0
2050-01-01 19:00:00+00:00,-33333.333,32000.0
2050-01-01 20:00:00+00:00,-33333.333,32000.0
2050-01-01 21:00:00+00:00,-33333.333,32000.0
2050-01-01 22:00:00+00:00,-33333.333,32000.0
2050-01-01 23:00:00+00:00,-33333.333,32000.0
2050-01-02 00:00:00+00:00,-33333.333,32000.0
2050-01-02 01:00:00+00:00,-33333.333,32000.0
2050-01-02 02:00:00+00:00,-33333.333,32000.0
2050-01-02 03:00:00+00:00,-33333.333,32000.0
2050-01-02 04:00:00+00:00,-33333.333,32000.0
2050-01-02 05:00:00+00:00,-33333.333,32000.0
2050-01-02 06:00:00+00:00,-33333.333,32000.0
2050-01-02 07:00:00+00:00,-33333.333,32000.0
2050-01-02 08:00:00+00:00,-33333.333,32000.0
2050-01-02 09:00:00+00:00,-33333.333,32000.0
2050-01-02 10:00:00+00:00,-33333.333,32000.0
2050-01-02 11:00:00+00:00,-33333.333,32000.0
2050-01-02 12:00:00+00:00,-33333.333,32000.0
2050-01-02 13:00:00+00:00,-33333.333,32000.0
2050-01-02 14:00:00+00:00,-33333.333,32000.0
2050-01-02 15:00:00+00:00,-33333.333,32000.0
2050-01-02 16:00:00+00:00,-33333.333,32000.0
2050-01-02 17:00:00+00:00,-33333.333,32000.0
2050-01-02 18:00:00+00:00,-33333.333,32000.0
2050-01-02 19:00:00+00:00,-33333.333,32000.0
2050-01-02 20:00:00+00:00,-33333.333,32000.0
2050-01-02 21:00:00+00:00,-33333.333,32000.0
2050-01-02 22:00:00+00:00,-33333.333,32000.0
2050-01-02 23:00:00+00:00,-33333.333,32000.0
2050-01-03 00:00:00+00:00,-33333.333,32000.0
2050-01-03 01:00:00+00:00,-33333.333,32000.0
2050-01-03 02:00:00+00:00,-33333.333,32000.0
2050-01-03 03:00:00+00:00,-33333.333,32000.0
2050-01-03 04:00:00+00:00,-32940.825,31623.192
2050-01-03 05:00:00+00:00,-25588.874,24565.319
2050-01-03 06:00:00+00:00,-21670.928,20804.09
2050-01-03 07:00:00+00:00,-19742.074,18952.391
2050-01-03 08:00:00+00:00,-21237.374,20387.879
2050-01-03 09:00:00+00:00,-24013.192,23052.665
2050-01-03 10:00:00+00:00,-25675.08,24648.077
2050-01-03 11:00:00+00:00,-26154.957,25108.759
2050-01-03 12:00:00+00:00,-23728.896,22779.74
2050-01-03 13:00:00+00:00,-21217.441,20368.744
2050-01-03 14:00:00+00:00,-20861.28,20026.828
2050-01-03 15:00:00+00:00,-20954.669,20116.482
2050-01-03 16:00:00+00:00,-18330.944,17597.706
2050-01-03 17:00:00+00:00,-18751.465,18001.406
2050-01-03 18:00:00+00:00,-23309.862,22377.467
2050-01-03 19:00:00+00:00,-22553.561,21651.419
2050-01-03 20:00:00+00:00,-28232.533,27103.232
2050-01-03 21:00:00+00:00,-27948.531,26830.59
2050-01-03 22:00:00+00:00,-31143.053,29897.33
2050-01-03 23:00:00+00:00,-33333.333,32000.0
2050-01-04 00:00:00+00:00,-33333.333,32000.0
2050-01-04 01:00:00+00:00,-33333.333,32000.0
2050-01-04 02:00:00+00:00,-33333.333,32000.0
2050-01-04 03:00:00+00:00,-33333.333,32000.0
2050-01-04 04:00:00+00:00,-33333.333,32000.0
2050-01-04 05:00:00+00:00,-33333.333,32000.0
2050-01-04 06:00:00+00:00,-33333.333,32000.0
2050-01-04 07:00:00+00:00,-33333.333,32000.0
2050-01-04 08:00:00+00:00,-33333.333,32000.0
2050-01-04 09:00:00+00:00,-33333.333,32000.0
2050-01-04 10:00:00+00:00,-33333.333,32000.0
2050-01-04 11:00:00+00:00,-33333.333,32000.0
2050-01-04 12:00:00+00:00,-33333.333,32000.0
2050-01-04 13:00:00+00:00,-33333.333,32000.0
2050-01-04 14:00:00+00:00,-33333.333,32000.0
2050-01-04 15:00:00+00:00,-33333.333,32000.0
2050-01-04 16:00:00+00:00,-33333.333,32000.0
2050-01-04 17:00:00+00:00,-33333.333,32000.0
2050-01-04 18:00:00+00:00,-33333.333,32000.0
2050-01-04 19:00:00+00:00,-33333.333,32000.0
2050-01-04 20:00:00+00:00,-33333.333,32000.0
2050-01-04 21:00:00+00:00,-33333.333,32000.0
2050-01-04 22:00:00+00:00,-33333.333,32000.0
2050-01-04 23:00:00+00:00,-33333.333,32000.0
2050-01-05 00:00:00+00:00,-33333.333,32000.0
2050-01-05 01:00:00+00:00,-33333.333,32000.0
2050-01-05 02:00:00+00:00,-33333.333,32000.0
2050-01-05 03:00:00+00:00,-33333.333,32000.0
2050-01-05 04:00:00+00:00,-33333.333,32000.0
2050-01-05 05:00:00+00:00,-33333.333,32000.0
2050-01-05 06:00:00+00:00,-21832.846,20959.532
2050-01-05 07:00:00+00:00,-33046.913,31725.036
2050-01-05 08:00:00+00:00,-11171.72,10724.852
2050-01-05 09:00:00+00:00,0.0,0.0
2050-01-05 10:00:00+00:00,0.0,0.0
2050-01-05 11:00:00+00:00,0.0,0.0
2050-01-05 12:00:00+00:00,-7088.5471,6805.0052
2050-01-05 13:00:00+00:00,-19411.31,18634.858
2050-01-05 14:00:00+00:00,-33333.333,32000.0
2050-01-05 15:00:00+00:00,-33333.333,32000.0
2050-01-05 16:00:00+00:00,-33333.333,32000.0
2050-01-05 17:00:00+00:00,-30288.531,29076.99
2050-01-05 18:00:00+00:00,-33333.333,32000.0
2050-01-05 19:00:00+00:00,-33333.333,32000.0
2050-01-05 20:00:00+00:00,-31064.189,29821.622
2050-01-05 21:00:00+00:00,-33333.333,32000.0
2050-01-05 22:00:00+00:00,-33333.333,32000.0
2050-01-05 23:00:00+00:00,-30325.904,29112.867
2050-01-06 00:00:00+00:00,-33333.333,32000.0
2050-01-06 01:00:00+00:00,-16798.617,16126.673
2050-01-06 02:00:00+00:00,-11968.566,11489.824
2050-01-06 03:00:00+00:00,-22410.471,21514.052
2050-01-06 04:00:00+00:00,-22890.681,21975.054
2050-01-06 05:00:00+00:00,-19833.237,19039.908
2050-01-06 06:00:00+00:00,-3051.3604,2929.306
2050-01-06 07:00:00+00:00,-238.61966,229.07488
2050-01-06 08:00:00+00:00,-4330.206,4156.9978
2050-01-06 09:00:00+00:00,-9798.1354,9406.21
2050-01-06 10:00:00+00:00,-28037.819,26916.306
2050-01-06 11:00:00+00:00,-32377.262,31082.171
2050-01-06 12:00:00+00:00,-22210.835,21322.402
2050-01-06 13:00:00+00:00,-17904.365,17188.19
2050-01-06 14:00:00+00:00,-23203.018,22274.897
2050-01-06 15:00:00+00:00,-20832.568,19999.265
2050-01-06 16:00:00+00:00,-7995.0924,7675.2887
2050-01-06 17:00:00+00:00,0.0,0.0
2050-01-06 18:00:00+00:00,0.0,0.0
2050-01-06 19:00:00+00:00,3086.3987,-3214.9987
2050-01-06 20:00:00+00:00,4940.1217,-5145.9601
2050-01-06 21:00:00+00:00,2234.9464,-2328.0691
2050-01-06 22:00:00+00:00,0.0,0.0
2050-01-06 23:00:00+00:00,0.0,0.0
2050-01-07 00:00:00+00:00,0.0,0.0
2050-01-07 01:00:00+00:00,0.0,0.0
2050-01-07 02:00:00+00:00,0.0,0.0
2050-01-07 03:00:00+00:00,-11411.772,10955.301
2050-01-07 04:00:00+00:00,-13899.9,13343.904
2050-01-07 05:00:00+00:00,-32618.221,31313.492
2050-01-07 06:00:00+00:00,-22146.148,21260.302
2050-01-07 07:00:00+00:00,-17129.295,16444.123
2050-01-07 08:00:00+00:00,-17279.657,16588.471
2050-01-07 09:00:00+00:00,-18885.945,18130.507
2050-01-07 10:00:00+00:00,-21223.101,20374.177
2050-01-07 11:00:00+00:00,-24030.727,23069.498
2050-01-07 12:00:00+00:00,-27944.759,26826.969
2050-01-07 13:00:00+00:00,-33333.333,32000.0
2050-01-07 14:00:00+00:00,-33333.333,32000.0
2050-01-07 15:00:00+00:00,-33333.333,32000.0
2050-01-07 16:00:00+00:00,-33333.333,32000.0
2050-01-07 17:00:00+00:00,-33333.333,32000.0
2050-01-07 18:00:00+00:00,-33333.333,32000.0
2050-01-07 19:00:00+00:00,-33333.333,32000.0
2050-01-07 20:00:00+00:00,-30268.275,29057.544
2050-01-07 21:00:00+00:00,-25618.709,24593.961
2050-01-07 22:00:00+00:00,-20711.991,19883.512
2050-01-07 23:00:00+00:00,-13486.046,12946.605
2050-01-08 00:00:00+00:00,-3755.8185,3605.5858
2050-01-08 01:00:00+00:00,-1910.9386,1834.5011
2050-01-08 02:00:00+00:00,-210.44404,202.02628
2050-01-08 03:00:00+00:00,0.0,0.0
2050-01-08 04:00:00+00:00,-3154.4771,3028.298
2050-01-08 05:00:00+00:00,-7579.7577,7276.5673
2050-01-08 06:00:00+00:00,-6868.3963,6593.6604
2050-01-08 07:00:00+00:00,-2961.8946,2843.4189
2050-01-08 08:00:00+00:00,0.0,0.0
2050-01-08 09:00:00+00:00,0.0,0.0
2050-01-08 10:00:00+00:00,0.0,0.0
2050-01-08 11:00:00+00:00,0.0,0.0
2050-01-08 12:00:00+00:00,0.0,0.0
2050-01-08 13:00:00+00:00,0.0,0.0
2050-01-08 14:00:00+00:00,0.0,0.0
2050-01-08 15:00:00+00:00,0.0,0.0
2050-01-08 16:00:00+00:00,0.0,0.0
2050-01-08 17:00:00+00:00,-1498.6265,1438.6815
2050-01-08 18:00:00+00:00,-7083.0773,6799.7542
2050-01-08 19:00:00+00:00,-9168.4062,8801.67
2050-01-08 20:00:00+00:00,-10466.825,10048.152
2050-01-08 21:00:00+00:00,-14288.623,13717.078
2050-01-08 22:00:00+00:00,-14300.947,13728.91
2050-01-08 23:00:00+00:00,-7881.6727,7566.4058
2050-01-09 00:00:00+00:00,-2905.6902,2789.4626
2050-01-09 01:00:00+00:00,-220.20674,211.39847
2050-01-09 02:00:00+00:00,-10089.026,9685.4648
2050-01-09 03:00:00+00:00,0.0,0.0
2050-01-09 04:00:00+00:00,-3927.1852,3770.0978
2050-01-09 05:00:00+00:00,-19498.239,18718.31
2050-01-09 06:00:00+00:00,-8891.2988,8535.6468
2050-01-09 07:00:00+00:00,-9021.4284,8660.5712
2050-01-09 08:00:00+00:00,-5963.5231,5724.9822
2050-01-09 09:00:00+00:00,-17162.494,16475.994
2050-01-09 10:00:00+00:00,-13394.816,12859.023
2050-01-09 11:00:00+00:00,-19616.874,18832.199
2050-01-09 12:00:00+00:00,-32667.006,31360.325
2050-01-09 13:00:00+00:00,-33333.333,32000.0
2050-01-09 14:00:00+00:00,-33333.333,32000.0
2050-01-09 15:00:00+00:00,-33333.333,32000.0
2050-01-09 16:00:00+00:00,-33333.333,32000.0
2050-01-09 17:00:00+00:00,-33333.333,32000.0
2050-01-09 18:00:00+00:00,-33333.333,32000.0
2050-01-09 19:00:00+00:00,-33333.333,32000.0
2050-01-09 20:00:00+00:00,-33333.333,32000.0
2050-01-09 21:00:00+00:00,-33333.333,32000.0
2050-01-09 22:00:00+00:00,-33333.333,32000.0
2050-01-09 23:00:00+00:00,-33333.333,32000.0
2050-01-10 00:00:00+00:00,-33333.333,32000.0
2050-01-10 01:00:00+00:00,-33333.333,32000.0
2050-01-10 02:00:00+00:00,-33333.333,32000.0
2050-01-10 03:00:00+00:00,-33333.333,32000.0
2050-01-10 04:00:00+00:00,-33333.333,32000.0
2050-01-10 05:00:00+00:00,-33333.333,32000.0
2050-01-10 06:00:00+00:00,-33333.333,32000.0
2050-01-10 07:00:00+00:00,-33333.333,32000.0
2050-01-10 08:00:00+00:00,-33333.333,32000.0
2050-01-10 09:00:00+00:00,-33333.333,32000.0
2050-01-10 10:00:00+00:00,-33333.333,32000.0
2050-01-10 11:00:00+00:00,-22827.773,21914.662
2050-01-10 12:00:00+00:00,-26762.121,25691.636
2050-01-10 13:00:00+00:00,-33333.333,32000.0
2050-01-10 14:00:00+00:00,-33333.333,32000.0
2050-01-10 15:00:00+00:00,-33333.333,32000.0
2050-01-10 16:00:00+00:00,-33333.333,32000.0
2050-01-10 17:00:00+00:00,-33333.333,32000.0
2050-01-10 18:00:00+00:00,-33333.333,32000.0
2050-01-10 19:00:00+00:00,-33333.333,32000.0
2050-01-10 20:00:00+00:00,-33333.333,32000.0
2050-01-10 21:00:00+00:00,-33333.333,32000.0
2050-01-10 22:00:00+00:00,-33333.333,32000.0
