,elec_Bus_NDE,elec_Bus_SDE
2050-01-01 00:00:00+00:00,-39583.333,38000.0
2050-01-01 01:00:00+00:00,-39037.999,37476.479
2050-01-01 02:00:00+00:00,-34653.736,33267.586
2050-01-01 03:00:00+00:00,-32398.346,31102.412
2050-01-01 04:00:00+00:00,-39583.333,38000.0
2050-01-01 05:00:00+00:00,-37886.822,36371.349
2050-01-01 06:00:00+00:00,-21678.949,20811.791
2050-01-01 07:00:00+00:00,-14285.986,13714.547
2050-01-01 08:00:00+00:00,-16802.444,16130.347
2050-01-01 09:00:00+00:00,-20141.491,19335.831
2050-01-01 10:00:00+00:00,-23264.788,22334.197
2050-01-01 11:00:00+00:00,-25983.568,24944.225
2050-01-01 12:00:00+00:00,-33884.344,32528.97
2050-01-01 13:00:00+00:00,-39583.333,38000.0
2050-01-01 14:00:00+00:00,-38956.753,37398.483
2050-01-01 15:00:00+00:00,-39583.333,38000.0
2050-01-01 16:00:00+00:00,-39583.333,38000.0
2050-01-01 17:00:00+00:00,-39583.333,38000.0
2050-01-01 18:00:00+00:00,-39583.333,38000.0
2050-01-01 19:00:00+00:00,-39583.333,38000.0
2050-01-01 20:00:00+00:00,-39583.333,38000.0
2050-01-01 21:00:00+00:00,-39583.333,38000.0
2050-01-01 22:00:00+00:00,-36117.845,34673.131
2050-01-01 23:00:00+00:00,-32369.181,31074.414
2050-01-02 00:00:00+00:00,-32544.037,31242.275
2050-01-02 01:00:00+00:00,-32430.214,31133.005
2050-01-02 02:00:00+00:00,-31194.458,29946.68
2050-01-02 03:00:00+00:00,-32672.322,31365.429
2050-01-02 04:00:00+00:00,-34701.351,33313.297
2050-01-02 05:00:00+00:00,-39583.333,38000.0
2050-01-02 06:00:00+00:00,-29478.532,28299.391
2050-01-02 07:00:00+00:00,-36896.077,35420.234
2050-01-02 08:00:00+00:00,-32670.178,31363.371
2050-01-02 09:00:00+00:00,-30430.822,29213.589
2050-01-02 10:00:00+00:00,-20696.89,19869.014
2050-01-02 11:00:00+00:00,-15780.62,15149.395
2050-01-02 12:00:00+00:00,-17134.773,16449.382
2050-01-02 13:00:00+00:00,-27353.409,26259.273
2050-01-02 14:00:00+00:00,-29865.378,28670.763
2050-01-02 15:00:00+00:00,-31413.527,30156.986
2050-01-02 16:00:00+00:00,-31419.903,30163.107
2050-01-02 17:00:00+00:00,-29379.498,28204.318
2050-01-02 18:00:00+00:00,-26723.623,25654.678
2050-01-02 19:00:00+00:00,-25215.404,24206.788
2050-01-02 20:00:00+00:00,-23560.006,22617.606
2050-01-02 21:00:00+00:00,-19398.444,18622.506
2050-01-02 22:00:00+00:00,-23643.195,22697.467
2050-01-02 23:00:00+00:00,-21758.626,20888.281
2050-01-03 00:00:00+00:00,-21195.843,20348.009
2050-01-03 01:00:00+00:00,-19805.038,19012.836
2050-01-03 02:00:00+00:00,-18712.124,17963.639
2050-01-03 03:00:00+00:00,-20715.262,19886.652
2050-01-03 04:00:00+00:00,-16061.054,15418.612
2050-01-03 05:00:00+00:00,-13318.538,12785.797
2050-01-03 06:00:00+00:00,-6915.8575,6639.2232
2050-01-03 07:00:00+00:00,-8504.8703,8164.6755
2050-01-03 08:00:00+00:00,-7756.6176,7446.3529
2050-01-03 09:00:00+00:00,-6088.5556,5845.0134
2050-01-03 10:00:00+00:00,-5700.607,5472.5827
