timeindex,acaes_NDE,hydrogen_NDE,hydrogen_SDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,redox_NDE,redox_SDE,tes_NDE,tes_SDE
2050-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,8726.7833,850.0,349014.28,0.0,0.0,123120.0,555846.52
2050-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,1355.469,850.0,341107.29,0.0,0.0,124740.0,555846.52
2050-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,850.0,331607.57,0.0,0.0,126360.0,555846.52
2050-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,850.0,323177.41,0.0,0.0,127980.0,555846.52
2050-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,850.0,315611.88,0.0,0.0,129600.0,555846.52
2050-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,850.0,315611.88,0.0,0.0,127600.0,546735.41
2050-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,11086.743,850.0,315611.88,0.0,0.0,125600.0,537624.3
2050-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,15962.779,850.0,315611.88,0.0,0.0,123600.0,528513.19
2050-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,26899.787,856.29,315764.08,0.0,0.0,121600.0,519402.08
2050-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,39208.768,882.69667,316403.05,0.0,682.09018,119600.0,510290.97
2050-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,51517.749,928.65333,317515.06,0.0,692.25056,117600.0,501179.86
2050-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,63826.73,981.92,318803.96,0.0,1374.3407,115600.0,493009.87
2050-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,70792.674,1026.7433,319888.55,0.0,1374.3407,114221.74,483898.76
2050-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,80848.949,1053.7733,320542.6,0.0,1374.3407,113507.51,474787.65
2050-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,80848.949,1059.44,320679.72,0.0,1374.3407,112753.81,465676.54
2050-01-01 15:00:00+00:00,0.0,0.0,0.0,0.0,78506.686,1059.44,320679.72,0.0,1374.3407,111749.67,456565.43
2050-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,81360.655,1059.44,320679.72,0.0,1374.3407,109749.67,447454.32
2050-01-01 17:00:00+00:00,0.0,0.0,0.0,0.0,83414.5,1059.44,320679.72,0.0,1374.3407,107749.67,438343.21
2050-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,83352.197,1059.44,320679.72,0.0,1374.3407,105749.67,429232.1
2050-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,81380.49,1059.44,320679.72,0.0,1374.3407,103749.67,420938.86
2050-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,81380.49,1059.44,320679.72,0.0,1374.3407,101749.67,419680.49
2050-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,69498.116,1059.44,320679.72,0.0,1374.3407,102717.87,419680.49
2050-01-01 22:00:00+00:00,131.36675,0.0,0.0,0.0,56118.788,1059.44,311742.28,0.0,1374.3407,104337.87,419680.49
2050-01-01 23:00:00+00:00,131.36675,0.0,0.0,0.0,42739.461,1059.44,310911.43,0.0,1374.3407,105957.87,419680.49
2050-01-02 00:00:00+00:00,812.44591,0.0,0.0,0.0,33376.503,1059.44,310911.43,0.0,1374.3407,107577.87,419680.49
2050-01-02 01:00:00+00:00,1493.5251,0.0,0.0,2217.3129,25995.754,1059.44,310911.43,0.0,1374.3407,109197.87,419680.49
2050-01-02 02:00:00+00:00,2174.6042,0.0,0.0,4919.2843,19953.133,1059.44,310911.43,0.0,1374.3407,110817.87,419680.49
2050-01-02 03:00:00+00:00,2855.6834,0.0,0.0,7621.2558,12323.127,1059.44,310911.43,149.72711,1374.3407,112437.87,419680.49
2050-01-02 04:00:00+00:00,3536.7625,0.0,0.0,10323.227,0.0,1059.44,310911.43,252.96578,1374.3407,114057.87,419680.49
2050-01-02 05:00:00+00:00,4217.8417,0.0,0.0,13025.199,3970.6793,1059.44,310911.43,402.69289,1374.3407,112057.87,410569.38
2050-01-02 06:00:00+00:00,4898.9208,0.0,0.0,15727.17,16279.66,1059.44,310911.43,552.42,1374.3407,110057.87,401458.27
