,elec_Bus_NDE,elec_Bus_SDE
2050-01-01 00:00:00+00:00,-39062.5,37500.0
2050-01-01 01:00:00+00:00,-39062.5,37500.0
2050-01-01 02:00:00+00:00,-39062.5,37500.0
2050-01-01 03:00:00+00:00,-39062.5,37500.0
2050-01-01 04:00:00+00:00,-39062.5,37500.0
2050-01-01 05:00:00+00:00,-39062.5,37500.0
2050-01-01 06:00:00+00:00,-23156.553,22230.291
2050-01-01 07:00:00+00:00,-24123.278,23158.347
2050-01-01 08:00:00+00:00,-23319.167,22386.401
2050-01-01 09:00:00+00:00,-21647.394,20781.498
2050-01-01 10:00:00+00:00,-25020.547,24019.725
2050-01-01 11:00:00+00:00,-29781.881,28590.606
2050-01-01 12:00:00+00:00,-38305.945,36773.707
2050-01-01 13:00:00+00:00,-39062.5,37500.0
2050-01-01 14:00:00+00:00,-39062.5,37500.0
2050-01-01 15:00:00+00:00,-39062.5,37500.0
2050-01-01 16:00:00+00:00,-39062.5,37500.0
2050-01-01 17:00:00+00:00,-39062.5,37500.0
2050-01-01 18:00:00+00:00,-39062.5,37500.0
2050-01-01 19:00:00+00:00,-39062.5,37500.0
2050-01-01 20:00:00+00:00,-39062.5,37500.0
2050-01-01 21:00:00+00:00,-39062.5,37500.0
2050-01-01 22:00:00+00:00,-39062.5,37500.0
2050-01-01 23:00:00+00:00,-39062.5,37500.0
2050-01-02 00:00:00+00:00,-39062.5,37500.0
2050-01-02 01:00:00+00:00,-39062.5,37500.0
2050-01-02 02:00:00+00:00,-39062.5,37500.0
2050-01-02 03:00:00+00:00,-39062.5,37500.0
2050-01-02 04:00:00+00:00,-39062.5,37500.0
2050-01-02 05:00:00+00:00,-39062.5,37500.0
2050-01-02 06:00:00+00:00,-39062.5,37500.0
2050-01-02 07:00:00+00:00,-39062.5,37500.0
2050-01-02 08:00:00+00:00,-35757.212,34326.924
2050-01-02 09:00:00+00:00,-33131.157,31805.911
2050-01-02 10:00:00+00:00,-24677.22,23690.131
2050-01-02 11:00:00+00:00,-20658.821,19832.468
2050-01-02 12:00:00+00:00,-34213.045,32844.523
