,elec_Bus_NDE,elec_Bus_SDE
2050-01-01 00:00:00+00:00,-41666.667,40000.0
2050-01-01 01:00:00+00:00,-41666.667,40000.0
2050-01-01 02:00:00+00:00,-41666.667,40000.0
2050-01-01 03:00:00+00:00,-41666.667,40000.0
2050-01-01 04:00:00+00:00,-41666.667,40000.0
2050-01-01 05:00:00+00:00,-41666.667,40000.0
2050-01-01 06:00:00+00:00,-23593.676,22649.929
2050-01-01 07:00:00+00:00,-17724.069,17015.107
2050-01-01 08:00:00+00:00,-23756.29,22806.038
2050-01-01 09:00:00+00:00,-22084.517,21201.136
2050-01-01 10:00:00+00:00,-25457.669,24439.363
2050-01-01 11:00:00+00:00,-29718.565,28529.822
2050-01-01 12:00:00+00:00,-38735.917,37186.48
2050-01-01 13:00:00+00:00,-41666.667,40000.0
2050-01-01 14:00:00+00:00,-41666.667,40000.0
2050-01-01 15:00:00+00:00,-41666.667,40000.0
2050-01-01 16:00:00+00:00,-41666.667,40000.0
2050-01-01 17:00:00+00:00,-41666.667,40000.0
2050-01-01 18:00:00+00:00,-41666.667,40000.0
2050-01-01 19:00:00+00:00,-41666.667,40000.0
2050-01-01 20:00:00+00:00,-41666.667,40000.0
2050-01-01 21:00:00+00:00,-41666.667,40000.0
2050-01-01 22:00:00+00:00,-41666.667,40000.0
2050-01-01 23:00:00+00:00,-41666.667,40000.0
2050-01-02 00:00:00+00:00,-41666.667,40000.0
2050-01-02 01:00:00+00:00,-41666.667,40000.0
2050-01-02 02:00:00+00:00,-41666.667,40000.0
2050-01-02 03:00:00+00:00,-40490.991,38871.351
2050-01-02 04:00:00+00:00,-41666.667,40000.0
2050-01-02 05:00:00+00:00,-41666.667,40000.0
2050-01-02 06:00:00+00:00,-39268.396,37697.66
2050-01-02 07:00:00+00:00,-41666.667,40000.0
2050-01-02 08:00:00+00:00,-36194.335,34746.561
2050-01-02 09:00:00+00:00,-33568.28,32225.549
2050-01-02 10:00:00+00:00,-24750.202,23760.194
2050-01-02 11:00:00+00:00,-20514.496,19693.916
2050-01-02 12:00:00+00:00,-20918.319,20081.586
2050-01-02 13:00:00+00:00,-32131.993,30846.713
2050-01-02 14:00:00+00:00,-41666.667,40000.0
2050-01-02 15:00:00+00:00,-41666.667,40000.0
2050-01-02 16:00:00+00:00,-41666.667,40000.0
2050-01-02 17:00:00+00:00,-40153.595,38547.451
2050-01-02 18:00:00+00:00,-36473.584,35014.64
2050-01-02 19:00:00+00:00,-34338.981,32965.422
2050-01-02 20:00:00+00:00,-32845.574,31531.751
2050-01-02 21:00:00+00:00,-31028.063,29786.94
2050-01-02 22:00:00+00:00,-33563.345,32220.811
2050-01-02 23:00:00+00:00,-28829.95,27676.752
2050-01-03 00:00:00+00:00,-28238.033,27108.512
2050-01-03 01:00:00+00:00,-28452.959,27314.84
2050-01-03 02:00:00+00:00,-23934.261,22976.891
2050-01-03 03:00:00+00:00,-24867.63,23872.925
2050-01-03 04:00:00+00:00,-24232.395,23263.099
2050-01-03 05:00:00+00:00,-17172.218,16485.329
2050-01-03 06:00:00+00:00,-13070.689,12547.861
2050-01-03 07:00:00+00:00,-11606.338,11142.085
2050-01-03 08:00:00+00:00,-10747.619,10317.714
2050-01-03 09:00:00+00:00,-9867.5509,9472.8488
2050-01-03 10:00:00+00:00,-9154.2469,8788.077
2050-01-03 11:00:00+00:00,-8843.3161,8489.5835
2050-01-03 12:00:00+00:00,-8947.2796,8589.3885
2050-01-03 13:00:00+00:00,-10655.161,10228.954
2050-01-03 14:00:00+00:00,-9369.5211,8994.7402
2050-01-03 15:00:00+00:00,-14263.86,13693.306
2050-01-03 16:00:00+00:00,-14807.079,14214.796
2050-01-03 17:00:00+00:00,-11301.107,10849.063
2050-01-03 18:00:00+00:00,-12725.596,12216.572
2050-01-03 19:00:00+00:00,-14732.69,14143.383
2050-01-03 20:00:00+00:00,-16579.479,15916.3
2050-01-03 21:00:00+00:00,-18364.292,17629.721
2050-01-03 22:00:00+00:00,-21273.864,20422.91
2050-01-03 23:00:00+00:00,-24812.964,23820.445
2050-01-04 00:00:00+00:00,-26635.623,25570.198
2050-01-04 01:00:00+00:00,-29539.285,28357.714
2050-01-04 02:00:00+00:00,-32584.856,31281.461
2050-01-04 03:00:00+00:00,-36750.039,35280.037
2050-01-04 04:00:00+00:00,-40189.228,38581.659
2050-01-04 05:00:00+00:00,-41661.206,39994.758
2050-01-04 06:00:00+00:00,-40433.555,38816.212
2050-01-04 07:00:00+00:00,-41666.667,40000.0
2050-01-04 08:00:00+00:00,-41666.667,40000.0
2050-01-04 09:00:00+00:00,-41666.667,40000.0
2050-01-04 10:00:00+00:00,-36302.298,34850.206
2050-01-04 11:00:00+00:00,-35215.979,33807.34
2050-01-04 12:00:00+00:00,-41666.667,40000.0
2050-01-04 13:00:00+00:00,-41666.667,40000.0
2050-01-04 14:00:00+00:00,-41666.667,40000.0
2050-01-04 15:00:00+00:00,-41666.667,40000.0
2050-01-04 16:00:00+00:00,-41666.667,40000.0
2050-01-04 17:00:00+00:00,-41666.667,40000.0
2050-01-04 18:00:00+00:00,-41666.667,40000.0
2050-01-04 19:00:00+00:00,-41666.667,40000.0
2050-01-04 20:00:00+00:00,-41666.667,40000.0
2050-01-04 21:00:00+00:00,-41666.667,40000.0
2050-01-04 22:00:00+00:00,-41666.667,40000.0
2050-01-04 23:00:00+00:00,-41666.667,40000.0
2050-01-05 00:00:00+00:00,-41666.667,40000.0
2050-01-05 01:00:00+00:00,-41666.667,40000.0
2050-01-05 02:00:00+00:00,-41666.667,40000.0
2050-01-05 03:00:00+00:00,-41666.667,40000.0
2050-01-05 04:00:00+00:00,-41666.667,40000.0
2050-01-05 05:00:00+00:00,-41666.667,40000.0
2050-01-05 06:00:00+00:00,-16140.459,15494.841
2050-01-05 07:00:00+00:00,-26783.158,25711.832
2050-01-05 08:00:00+00:00,-4680.6175,4493.3928
2050-01-05 09:00:00+00:00,0.0,0.0
2050-01-05 10:00:00+00:00,0.0,0.0
2050-01-05 11:00:00+00:00,0.0,0.0
2050-01-05 12:00:00+00:00,0.0,0.0
2050-01-05 13:00:00+00:00,-12771.204,12260.356
2050-01-05 14:00:00+00:00,-35855.377,34421.162
2050-01-05 15:00:00+00:00,-41666.667,40000.0
2050-01-05 16:00:00+00:00,-27833.477,26720.138
