,elec_Bus_NDE,elec_Bus_SDE
2050-01-01 00:00:00+00:00,-20833.333,20000.0
2050-01-01 01:00:00+00:00,-20833.333,20000.0
2050-01-01 02:00:00+00:00,-20833.333,20000.0
2050-01-01 03:00:00+00:00,-20833.333,20000.0
2050-01-01 04:00:00+00:00,-20833.333,20000.0
2050-01-01 05:00:00+00:00,-20833.333,20000.0
2050-01-01 06:00:00+00:00,-20833.333,20000.0
2050-01-01 07:00:00+00:00,-20833.333,20000.0
2050-01-01 08:00:00+00:00,-20833.333,20000.0
2050-01-01 09:00:00+00:00,-20833.333,20000.0
2050-01-01 10:00:00+00:00,-20833.333,20000.0
2050-01-01 11:00:00+00:00,-20833.333,20000.0
2050-01-01 12:00:00+00:00,-20833.333,20000.0
2050-01-01 13:00:00+00:00,-20833.333,20000.0
2050-01-01 14:00:00+00:00,-20833.333,20000.0
2050-01-01 15:00:00+00:00,-20833.333,20000.0
2050-01-01 16:00:00+00:00,-20833.333,20000.0
2050-01-01 17:00:00+00:00,-20833.333,20000.0
2050-01-01 18:00:00+00:00,-20833.333,20000.0
2050-01-01 19:00:00+00:00,-20833.333,20000.0
2050-01-01 20:00:00+00:00,-20833.333,20000.0
2050-01-01 21:00:00+00:00,-20833.333,20000.0
2050-01-01 22:00:00+00:00,-20833.333,20000.0
2050-01-01 23:00:00+00:00,-20833.333,20000.0
2050-01-02 00:00:00+00:00,-20833.333,20000.0
2050-01-02 01:00:00+00:00,-20833.333,20000.0
2050-01-02 02:00:00+00:00,-20833.333,20000.0
2050-01-02 03:00:00+00:00,-20833.333,20000.0
2050-01-02 04:00:00+00:00,-20833.333,20000.0
2050-01-02 05:00:00+00:00,-20833.333,20000.0
2050-01-02 06:00:00+00:00,-20833.333,20000.0
2050-01-02 07:00:00+00:00,-20833.333,20000.0
2050-01-02 08:00:00+00:00,-20833.333,20000.0
2050-01-02 09:00:00+00:00,-20833.333,20000.0
2050-01-02 10:00:00+00:00,-20833.333,20000.0
2050-01-02 11:00:00+00:00,-20833.333,20000.0
2050-01-02 12:00:00+00:00,-20833.333,20000.0
2050-01-02 13:00:00+00:00,-20833.333,20000.0
2050-01-02 14:00:00+00:00,-20833.333,20000.0
2050-01-02 15:00:00+00:00,-20833.333,20000.0
2050-01-02 16:00:00+00:00,-20833.333,20000.0
2050-01-02 17:00:00+00:00,-20833.333,20000.0
2050-01-02 18:00:00+00:00,-20833.333,20000.0
2050-01-02 19:00:00+00:00,-20833.333,20000.0
2050-01-02 20:00:00+00:00,-20833.333,20000.0
2050-01-02 21:00:00+00:00,-20833.333,20000.0
2050-01-02 22:00:00+00:00,-20833.333,20000.0
2050-01-02 23:00:00+00:00,-20833.333,20000.0
2050-01-03 00:00:00+00:00,-20833.333,20000.0
2050-01-03 01:00:00+00:00,-20833.333,20000.0
2050-01-03 02:00:00+00:00,-20833.333,20000.0
2050-01-03 03:00:00+00:00,-20833.333,20000.0
2050-01-03 04:00:00+00:00,-20833.333,20000.0
2050-01-03 05:00:00+00:00,-14318.736,13745.987
2050-01-03 06:00:00+00:00,-10810.651,10378.225
2050-01-03 07:00:00+00:00,-9499.3033,9119.3312
2050-01-03 08:00:00+00:00,-11220.45,10771.632
2050-01-03 09:00:00+00:00,-14298.67,13726.724
2050-01-03 10:00:00+00:00,-15815.177,15182.57
2050-01-03 11:00:00+00:00,-16434.345,15776.971
2050-01-03 12:00:00+00:00,-14054.704,13492.516
2050-01-03 13:00:00+00:00,-14476.28,13897.229
2050-01-03 14:00:00+00:00,-8344.2845,8010.5131
2050-01-03 15:00:00+00:00,-14039.937,13478.34
2050-01-03 16:00:00+00:00,-16159.243,15512.874
2050-01-03 17:00:00+00:00,-15778.91,15147.754
2050-01-03 18:00:00+00:00,-17188.198,16500.67
2050-01-03 19:00:00+00:00,-18402.676,17666.569
2050-01-03 20:00:00+00:00,-14408.959,13832.601
2050-01-03 21:00:00+00:00,-15317.453,14704.755
2050-01-03 22:00:00+00:00,-17911.915,17195.438
2050-01-03 23:00:00+00:00,-20824.131,19991.166
2050-01-04 00:00:00+00:00,-20833.333,20000.0
2050-01-04 01:00:00+00:00,-20833.333,20000.0
2050-01-04 02:00:00+00:00,-20833.333,20000.0
2050-01-04 03:00:00+00:00,-20833.333,20000.0
2050-01-04 04:00:00+00:00,-20833.333,20000.0
2050-01-04 05:00:00+00:00,-20833.333,20000.0
2050-01-04 06:00:00+00:00,-20833.333,20000.0
2050-01-04 07:00:00+00:00,-20833.333,20000.0
2050-01-04 08:00:00+00:00,-20833.333,20000.0
2050-01-04 09:00:00+00:00,-20833.333,20000.0
2050-01-04 10:00:00+00:00,-20833.333,20000.0
2050-01-04 11:00:00+00:00,-20833.333,20000.0
2050-01-04 12:00:00+00:00,-20833.333,20000.0
2050-01-04 13:00:00+00:00,-20833.333,20000.0
2050-01-04 14:00:00+00:00,-20833.333,20000.0
2050-01-04 15:00:00+00:00,-20833.333,20000.0
2050-01-04 16:00:00+00:00,-20833.333,20000.0
2050-01-04 17:00:00+00:00,-20833.333,20000.0
2050-01-04 18:00:00+00:00,-20833.333,20000.0
2050-01-04 19:00:00+00:00,-20833.333,20000.0
2050-01-04 20:00:00+00:00,-20833.333,20000.0
2050-01-04 21:00:00+00:00,-20833.333,20000.0
2050-01-04 22:00:00+00:00,-20833.333,20000.0
2050-01-04 23:00:00+00:00,-20833.333,20000.0
2050-01-05 00:00:00+00:00,-20833.333,20000.0
2050-01-05 01:00:00+00:00,-20833.333,20000.0
2050-01-05 02:00:00+00:00,-20833.333,20000.0
2050-01-05 03:00:00+00:00,-20833.333,20000.0
2050-01-05 04:00:00+00:00,-20833.333,20000.0
2050-01-05 05:00:00+00:00,-20833.333,20000.0
2050-01-05 06:00:00+00:00,-20833.333,20000.0
2050-01-05 07:00:00+00:00,-20833.333,20000.0
2050-01-05 08:00:00+00:00,-20833.333,20000.0
2050-01-05 09:00:00+00:00,-20833.333,20000.0
2050-01-05 10:00:00+00:00,-20833.333,20000.0
2050-01-05 11:00:00+00:00,-20833.333,20000.0
2050-01-05 12:00:00+00:00,-20833.333,20000.0
2050-01-05 13:00:00+00:00,-20833.333,20000.0
2050-01-05 14:00:00+00:00,-20833.333,20000.0
2050-01-05 15:00:00+00:00,-20833.333,20000.0
2050-01-05 16:00:00+00:00,-20833.333,20000.0
2050-01-05 17:00:00+00:00,-20833.333,20000.0
