timeindex,hydro_SDE,onshore_SDE,pv_SDE,chp_SDE,li-ion_SDE,redox_SDE,phs_SDE,import_export,electricity_SDE,excess_SDE,,
2050-01-01 00:00:00+00:00,2020.9768,19051.419,0,0,9881.9562,0,0,35000,43021.9417754786,0,,
2050-01-01 01:00:00+00:00,2025.8691,21461.019,0,0,6417.9676,0,0,35000,41571.7133989206,0,,
2050-01-01 02:00:00+00:00,2030.7615,24701.516,0,0,2027.1201,0,0,35000,39796.7130373476,0,,
2050-01-01 03:00:00+00:00,2035.6538,26733.577,0,0,0,0,0,35000,38236.7279522726,0,,
2050-01-01 04:00:00+00:00,2040.5462,30084.168,0,0,0,0,0,35000,37316.3907479394,0,,
2050-01-01 05:00:00+00:00,2045.4385,32546.218,0,5383.8206,0,0,0,35000,35916.5425441701,0,,14563193.51426
2050-01-01 06:00:00+00:00,2050.3309,35020.212,0,28317.804,-12833,0,0,21913.697,33335.4599091845,0,,
2050-01-01 07:00:00+00:00,2055.2232,35978.34,1035.2445,19863.323,-11260.242,0,0,26816.048,33354.3524432799,0,,
2050-01-01 08:00:00+00:00,2060.1156,36411.445,11317.635,16018.815,-12833,-762.6,0,22832.407,33911.2329499267,0,,
2050-01-01 09:00:00+00:00,2065.008,33685.066,23592.677,10930.735,-12833,-525.82198,0,20228.127,36009.2060075531,0,,
2050-01-01 10:00:00+00:00,2069.9003,30998.673,32178.201,4245.4163,-12833,-762.6,0,23703.131,38466.1375404623,0,,
2050-01-01 11:00:00+00:00,2074.7927,31266.637,33851.716,0,-12833,-762.6,0,28703.811,41167.7726177335,0,,
2050-01-01 12:00:00+00:00,2079.685,29188.877,28527.602,0,-11471.91,0,0,35000,42190.6693747378,0,,
2050-01-01 13:00:00+00:00,2084.5774,27357.269,18393.103,0,-68.47596,0,0,35000,41632.889305478,0,,
2050-01-01 14:00:00+00:00,2089.4697,26946.494,6320.44,6347.6964,0,0,0,35000,41181.2672849445,0,,
2050-01-01 15:00:00+00:00,2094.3621,28137.792,54.486552,4341.3663,8307.1853,0,0,35000,41097.6002663687,0,,
2050-01-01 16:00:00+00:00,2099.2544,28148.698,0,13180.999,0,0,0,35000,42526.2370935215,0,,
2050-01-01 17:00:00+00:00,2104.1468,26972.46,0,17812.397,0,0,0,35000,46239.0736314152,0,,
2050-01-01 18:00:00+00:00,2109.0391,25188.11,0,19615.801,0,0,0,35000,46930.0012475589,0,,
2050-01-01 19:00:00+00:00,2113.9315,23750.139,0,19531.334,0,0,0,35000,46190.492747588,0,,
2050-01-01 20:00:00+00:00,2118.8238,22529.241,0,17776.168,0,0,0,35000,44564.8335335519,0,,
2050-01-01 21:00:00+00:00,2123.7162,22620.639,0,9484.0039,5455.8027,0,0,35000,43968.3686697528,0,,
2050-01-01 22:00:00+00:00,2128.6085,22942.092,0,0,12833,762.6,0,35000,44500.9587754199,0,,
2050-01-01 23:00:00+00:00,2133.5009,23130.602,0,0,7629.4596,0,0,35000,42256.3435036989,0,,
2050-01-02 00:00:00+00:00,2138.3932,23247.966,0,0,3057.5571,0,0,35000,39538.5148257745,0,,
2050-01-02 01:00:00+00:00,2145.4937,23693.015,0,0,1156.2888,0,0,35000,37522.4094977624,0,,
2050-01-02 02:00:00+00:00,2152.5943,24077.824,0,0,-127.19923,0,0,35000,36425.7418114704,0,,
2050-01-02 03:00:00+00:00,2159.6948,23457.248,0,0,1395.3677,0,0,35000,35725.8176686518,0,,
