timeindex,ashp_SDE,gshp_SDE,chp_SDE,tes_SDE,dhw_SDE,space_SDE,excess_heat_SDE,,,
2050-01-01 00:00:00+00:00,0,89436.401,0,0,3888.71715667833,85547.6840604415,0,,,
2050-01-01 01:00:00+00:00,0,90999.256,0,0,4063.91409805289,86935.3420774039,0,,,
2050-01-01 02:00:00+00:00,0,93454.469,0,0,3470.37305834936,89984.0963282395,0,,,
2050-01-01 03:00:00+00:00,0,99576.762,0,-777.14875,4275.13284045773,94524.4806126476,0,,,
2050-01-01 04:00:00+00:00,0,116252.46,0,-3697.4304,7134.77263588456,105420.256747012,0,,,
2050-01-01 05:00:00+00:00,19189.225,119791.59,5383.8206,6150,14345.6822603104,136168.957312839,0,,,
2050-01-01 06:00:00+00:00,23960.919,119791.59,28317.804,6150,19981.4567669575,158238.859862257,0,,,
2050-01-01 07:00:00+00:00,23960.919,119791.59,19863.323,6150,19039.1591990971,150726.676992851,0,,,
2050-01-01 08:00:00+00:00,23960.919,119791.59,16018.815,6150,14865.5423433611,151055.7852659,0,,,
2050-01-01 09:00:00+00:00,23960.919,119791.59,10930.735,6150,14140.1942589785,146693.053954755,0,,,13466064.340672
2050-01-01 10:00:00+00:00,23960.919,119791.59,4245.4163,6150,13585.1310521937,140562.798361238,0,,,
2050-01-01 11:00:00+00:00,23960.919,119791.59,0,6083.443,12825.3985213732,137010.557573274,0,,,
2050-01-01 12:00:00+00:00,23960.919,119791.59,0,2130.869,12505.2956985814,133378.086410289,0,,,
2050-01-01 13:00:00+00:00,23960.919,119791.59,0,-567.49134,10411.1191750481,132773.902565735,0,,,
2050-01-01 14:00:00+00:00,11056.192,119791.59,6347.6964,6150,10926.0671943219,132419.415296505,0,,,
2050-01-01 15:00:00+00:00,14080.138,119791.59,4341.3663,6150,9824.12755371364,134538.970816219,0,,,
2050-01-01 16:00:00+00:00,11929.917,119791.59,13180.999,6150,10407.0257885674,140645.484768148,0,,,
2050-01-01 17:00:00+00:00,11348.515,119791.59,17812.397,6150,11268.2743041096,143834.232836624,0,,,
2050-01-01 18:00:00+00:00,9814.4566,119791.59,19615.801,6150,11284.6478500325,144087.204121132,0,,,
2050-01-01 19:00:00+00:00,8024.9717,119791.59,19531.334,6150,11822.5188335983,141675.380806696,0,,,
2050-01-01 20:00:00+00:00,4930.2928,119791.59,17776.168,6150,12300.6263745457,136347.428963399,0,,,
2050-01-01 21:00:00+00:00,0,119791.59,9484.0039,6150,11296.9280094746,124128.670318467,0,,,
2050-01-01 22:00:00+00:00,0,113744.83,0,-2037.9547,8122.91613232892,103583.963571764,0,,,
2050-01-01 23:00:00+00:00,0,99985.154,0,-6150,4776.16334569713,89058.9909835983,0,,,
2050-01-02 00:00:00+00:00,0,93231.067,0,-6150,3648.84470890849,83432.2219272086,0,,,
2050-01-02 01:00:00+00:00,0,95442.314,0,-6150,4245.6604577966,85046.6535552024,0,,,
2050-01-02 02:00:00+00:00,0,96242.162,0,-6150,4290.68770908445,85801.474022246,0,,,
2050-01-02 03:00:00+00:00,0,102517.32,0,-6150,5580.10445050937,90787.2187557554,0,,,
2050-01-02 04:00:00+00:00,0,118125.41,0,-6150,8733.64939525145,103241.756461976,0,,,
2050-01-02 05:00:00+00:00,13406.559,119791.59,11788.681,6150,15789.8290107063,135347.005307512,0,,,
2050-01-02 06:00:00+00:00,23960.919,119791.59,19333.639,6150,19117.7522195268,150118.399761817,0,,,
2050-01-02 07:00:00+00:00,20240.209,119791.59,13640.379,6150,18543.8594349307,141278.322318067,0,,,
2050-01-02 08:00:00+00:00,23960.919,119791.59,7693.6851,6150,14279.3693993229,143316.828785462,0,,,
2050-01-02 09:00:00+00:00,23960.919,119791.59,2364.0959,6150,13634.2516899623,138632.357296933,0,,,
2050-01-02 10:00:00+00:00,20439.543,119791.59,0,6150,12780.3712700853,133600.766634839,0,,,
2050-01-02 11:00:00+00:00,16750.584,119791.59,0,6150,12516.7571807273,130175.420827778,0,,,
2050-01-02 12:00:00+00:00,12862.685,119791.59,0,6150,12260.5111870346,126543.768342088,0,,,
2050-01-02 13:00:00+00:00,11183.578,119791.59,0,6150,10352.1744097257,126772.997985008,0,,,
2050-01-02 14:00:00+00:00,4242.6581,119791.59,8832.0644,6150,10046.8077782645,128969.50917056,0,,,
2050-01-02 15:00:00+00:00,1242.5068,119791.59,14457.714,6150,9147.08142980358,132494.733607751,0,,,
2050-01-02 16:00:00+00:00,5056.4728,119791.59,16114.15,6150,9933.01163410068,137179.20509628,0,,,
2050-01-02 17:00:00+00:00,5246.0528,119791.59,20880.023,6150,11242.076630633,140825.593773299,0,,,
2050-01-02 18:00:00+00:00,4547.4615,119791.59,21953.569,6150,11359.1474839815,141083.477121584,0,,,
2050-01-02 19:00:00+00:00,2670.3353,119791.59,21967.385,6150,12019.8200619687,138559.495017576,0,,,
2050-01-02 20:00:00+00:00,0,119791.59,20352.764,6150,12529.0373401695,133765.320771364,0,,,
2050-01-02 21:00:00+00:00,0,119791.59,13963.084,0,11590.8331587899,122163.844807725,0,,,
2050-01-02 22:00:00+00:00,0,109227.92,0,0,8320.21736069934,100907.707490673,0,,,
2050-01-02 23:00:00+00:00,0,91632.912,0,0,5122.46384196554,86510.4485607058,0,,,
2050-01-03 00:00:00+00:00,0,90162.568,0,0,3521.13105071021,86641.4369280886,0,,,
2050-01-03 01:00:00+00:00,0,92607.138,0,0,4053.27129320303,88553.8670918782,0,,,
2050-01-03 02:00:00+00:00,0,94833.122,0,0,3917.37086204333,90915.7510912502,0,,,
2050-01-03 03:00:00+00:00,0,101323.6,0,0,4429.04417213259,96894.5513849811,0,,,
